Date,Open,High,Low,Close,Volume
2021-08-27,327.00,333.46,327.00,331.81,512,400
2021-08-26,324.77,327.62,322.88,326.51,823,000
2021-08-25,324.35,327.58,323.87,325.01,521,600
2021-08-24,322.21,325.08,321.17,324.95,627,700
2021-08-23,316.43,321.62,315.06,320.92,726,400
2021-08-20,315.34,317.67,310.54,316.88,1,322,100
2021-08-19,302.60,317.96,302.11,315.99,2,489,800
2021-08-18,288.95,294.50,288.95,290.63,877,100
2021-08-17,292.05,293.75,288.12,291.62,746,000
2021-08-16,292.49,294.59,290.77,294.42,715,000
2021-08-13,292.56,295.75,291.62,293.12,806,500
2021-08-12,288.89,292.70,287.63,292.19,506,500
2021-08-11,290.04,290.78,287.85,288.95,372,800
2021-08-10,292.82,293.39,286.64,288.25,432,800
2021-08-09,293.79,293.93,290.71,291.40,384,800
2021-08-06,292.33,293.47,289.60,292.43,401,400
2021-08-05,292.09,293.37,290.25,293.20,358,200
2021-08-04,289.78,292.54,287.93,291.49,418,100
2021-08-03,288.20,290.24,286.01,289.20,406,200
2021-08-02,289.82,290.90,286.45,287.61,477,000
2021-07-30,284.08,288.35,283.56,287.99,523,000
2021-07-29,283.52,287.34,283.50,285.53,359,300
2021-07-28,282.37,284.49,281.84,283.69,526,100
2021-07-27,283.95,284.11,277.22,281.16,531,600
2021-07-26,284.35,286.03,282.91,283.89,498,700
2021-07-23,282.94,286.11,281.49,285.07,401,400
2021-07-22,278.90,282.22,278.06,281.60,558,600
2021-07-21,277.73,278.26,274.88,278.22,889,500
2021-07-20,275.25,279.62,273.28,277.89,893,500
2021-07-19,273.88,275.06,272.18,274.48,819,400
2021-07-16,277.50,279.77,276.20,276.56,458,000
2021-07-15,280.06,280.06,276.19,277.68,716,500
2021-07-14,279.72,281.12,277.64,279.08,753,400
2021-07-13,278.50,279.54,276.97,278.09,595,000
2021-07-12,282.03,283.09,277.74,278.56,458,200
2021-07-09,278.93,281.34,276.33,280.75,478,500
2021-07-08,276.66,280.03,275.36,278.86,867,300
2021-07-07,281.29,282.46,276.82,279.86,544,000
2021-07-06,279.95,281.19,275.95,279.29,686,200
2021-07-02,279.00,280.96,278.89,279.16,535,900
2021-07-01,276.61,278.10,274.89,277.11,1,011,500
2021-06-30,276.24,277.53,274.02,275.79,859,400
2021-06-29,271.58,276.28,270.68,276.18,474,200
2021-06-28,270.95,274.79,270.19,274.03,960,800
2021-06-25,273.45,275.29,267.54,268.97,2,959,100
2021-06-24,272.20,274.31,271.52,273.80,802,400
2021-06-23,268.61,270.58,267.51,268.86,543,200
2021-06-22,265.13,268.91,264.32,268.46,499,300
2021-06-21,265.29,267.39,262.58,264.80,862,000
2021-06-18,266.32,268.51,263.36,265.86,1,376,700
2021-06-17,261.30,266.62,257.68,265.14,861,700
2021-06-16,264.40,266.42,258.18,261.41,861,600
2021-06-15,266.49,267.22,263.73,264.09,660,300
2021-06-14,263.14,266.50,261.95,266.49,528,000
2021-06-11,261.62,264.00,260.86,263.07,492,900
2021-06-10,256.37,262.42,255.30,262.07,790,600
2021-06-09,256.53,258.57,255.12,256.06,467,600
2021-06-08,256.30,256.91,254.45,254.99,595,600
2021-06-07,255.11,255.25,250.76,252.59,470,000
2021-06-04,251.95,256.25,251.86,255.88,454,900
2021-06-03,249.51,252.60,247.87,250.59,662,700
2021-06-02,255.36,256.85,252.24,253.05,672,600
2021-06-01,253.92,255.81,250.81,253.82,866,900
2021-05-28,256.86,257.53,253.56,254.34,807,200
2021-05-27,253.87,256.17,251.75,254.62,1,219,500
2021-05-26,257.99,259.13,253.25,254.28,1,038,800
2021-05-25,249.78,256.06,249.05,255.83,1,181,600
2021-05-24,245.00,249.58,244.00,248.58,959,400
2021-05-21,247.01,248.29,240.76,242.00,1,106,700
2021-05-20,238.50,246.38,238.50,244.71,1,616,600
2021-05-19,229.73,237.74,229.04,237.36,992,300
2021-05-18,237.33,239.97,234.63,235.03,999,200
2021-05-17,236.50,238.90,233.50,236.00,1,265,200
2021-05-14,234.87,240.76,232.84,239.70,858,300
2021-05-13,229.42,233.59,228.60,230.86,775,400
2021-05-12,231.52,235.19,227.80,228.54,1,567,600
2021-05-11,228.28,236.40,225.02,234.82,1,286,900
2021-05-10,239.88,239.88,230.71,232.39,1,006,100
2021-05-07,240.23,245.22,239.62,241.84,617,700
2021-05-06,235.79,239.08,232.75,237.46,847,500
2021-05-05,240.69,241.82,236.59,237.46,914,400
2021-05-04,241.22,242.33,234.56,237.07,1,243,700
2021-05-03,248.91,249.83,243.98,244.81,480,200
2021-04-30,250.38,252.47,246.00,247.06,718,900
2021-04-29,254.39,254.94,249.58,252.51,551,400
2021-04-28,250.10,252.59,247.41,251.37,720,900
2021-04-27,254.73,256.86,249.03,251.70,1,049,200
2021-04-26,252.64,256.94,249.92,256.88,803,200
2021-04-23,249.11,252.31,248.51,251.45,658,900
2021-04-22,250.72,251.87,246.42,248.21,624,200
2021-04-21,250.07,253.46,250.00,252.56,729,700
2021-04-20,249.59,252.29,247.67,250.17,621,200
2021-04-19,258.62,258.86,247.40,250.64,1,121,600
2021-04-16,261.89,262.02,257.71,260.77,639,500
2021-04-15,262.32,263.85,260.09,262.13,904,800
2021-04-14,262.10,264.31,257.63,258.59,713,600
2021-04-13,261.10,263.70,259.55,261.93,704,500
2021-04-12,259.66,260.33,257.03,258.05,880,900
2021-04-09,259.85,262.58,258.34,261.85,579,700
2021-04-08,261.20,263.33,258.84,261.01,1,080,400
2021-04-07,257.62,257.66,254.60,257.00,582,200
2021-04-06,260.54,261.50,256.68,257.36,729,800
2021-04-05,255.18,260.43,255.18,260.11,1,094,100
2021-04-01,251.79,257.44,250.08,254.23,1,000,700
2021-03-31,241.96,249.28,241.78,247.78,1,306,100
2021-03-30,237.68,240.47,233.21,239.60,912,700
2021-03-29,241.72,243.15,237.61,240.46,1,125,600
2021-03-26,231.22,243.23,229.37,242.75,1,258,400
2021-03-25,230.87,232.70,226.70,231.67,758,100
2021-03-24,237.30,238.82,233.01,233.05,817,300
2021-03-23,235.50,238.34,234.08,235.13,887,000
2021-03-22,230.78,237.19,230.78,234.43,1,013,200
2021-03-19,227.43,230.78,225.58,227.86,1,328,100
2021-03-18,231.42,233.44,227.15,227.39,1,185,100
2021-03-17,230.93,237.35,228.23,235.61,1,001,500
2021-03-16,239.75,239.75,232.41,234.05,811,300
2021-03-15,229.48,235.00,228.02,234.87,858,200
2021-03-12,230.77,230.84,226.80,229.45,1,342,800
2021-03-11,234.50,237.93,233.18,234.26,1,059,100
2021-03-10,231.38,237.91,228.10,228.84,1,331,600
2021-03-09,226.29,232.94,226.14,228.40,1,390,100
2021-03-08,226.63,226.77,217.69,218.49,1,305,500
2021-03-05,230.10,231.63,217.82,227.80,1,602,700
2021-03-04,235.61,238.00,225.55,229.80,1,549,100
2021-03-03,245.74,246.04,235.95,236.93,1,471,500
2021-03-02,256.00,257.23,246.20,247.87,1,001,400
2021-03-01,249.34,254.31,248.34,254.17,1,266,700
2021-02-26,246.97,250.12,243.09,245.21,1,989,600
2021-02-25,258.85,259.73,242.13,244.09,1,872,600
2021-02-24,248.89,260.89,247.00,260.68,1,294,500
2021-02-23,251.74,254.67,246.09,253.21,1,567,100
2021-02-22,265.83,266.80,253.87,254.69,1,150,900
2021-02-19,272.61,274.83,267.35,268.07,1,111,700
2021-02-18,278.10,279.06,269.29,270.95,1,160,000
2021-02-17,286.91,287.94,278.86,283.76,929,400
2021-02-16,299.62,300.91,289.96,290.67,1,102,400
2021-02-12,286.71,293.31,285.09,292.09,604,700
2021-02-11,279.08,287.11,278.38,286.70,666,500
2021-02-10,278.03,280.24,275.50,276.87,703,300
2021-02-09,276.48,279.93,275.41,278.16,350,300
2021-02-08,275.30,278.39,274.19,276.48,625,200
2021-02-05,271.86,276.97,271.61,272.92,697,500
2021-02-04,266.12,270.27,264.72,270.09,500,900
2021-02-03,270.00,270.37,263.52,265.21,689,000
2021-02-02,264.01,270.16,264.01,269.76,700,000
2021-02-01,259.96,264.82,257.41,263.57,643,000
2021-01-29,257.08,260.61,253.72,255.45,791,300
2021-01-28,257.50,264.18,256.02,259.16,835,500
2021-01-27,262.59,266.51,252.10,254.53,812,800
2021-01-26,269.83,270.17,265.31,266.09,563,300
2021-01-25,273.25,274.49,265.04,269.63,475,000
2021-01-22,273.23,277.22,269.75,270.14,562,900
2021-01-21,276.20,276.20,271.27,272.87,600,000
2021-01-20,270.83,280.11,270.83,273.43,985,500
2021-01-19,261.66,268.64,261.10,268.20,819,300
2021-01-15,258.68,260.86,255.00,258.92,624,200
2021-01-14,257.12,260.48,257.00,257.91,563,000
2021-01-13,258.95,259.88,253.46,257.14,700,800
2021-01-12,261.48,261.84,255.82,258.58,560,200
2021-01-11,258.16,264.62,258.16,260.43,533,300
2021-01-08,259.99,264.33,259.29,262.80,630,400
2021-01-07,252.68,259.44,252.23,258.84,743,500
2021-01-06,253.29,255.04,249.26,249.70,854,400
2021-01-05,254.76,259.51,253.79,258.89,791,800
2021-01-04,260.00,263.00,251.35,254.70,979,700
2020-12-31,257.95,259.52,256.50,259.24,414,800
2020-12-30,255.37,258.34,254.86,256.91,390,100
2020-12-29,257.77,258.34,252.78,253.82,450,100
2020-12-28,261.13,261.13,254.42,256.16,454,000
2020-12-24,255.00,257.48,253.81,256.28,200,200
2020-12-23,259.03,260.26,254.59,254.70,545,500
2020-12-22,255.08,258.48,254.51,258.05,759,200
2020-12-21,251.83,255.80,247.00,254.24,1,121,400
2020-12-18,250.83,255.72,248.20,255.00,1,604,800
2020-12-17,249.79,253.10,246.39,250.29,848,000
2020-12-16,244.38,249.10,243.51,248.10,912,600
2020-12-15,241.11,243.14,239.49,242.74,581,600
2020-12-14,236.91,242.73,235.88,238.86,715,500
2020-12-11,234.01,236.58,232.30,236.39,718,600
2020-12-10,231.62,235.08,229.21,234.17,702,800
2020-12-09,238.65,238.65,231.26,232.77,801,700
2020-12-08,241.30,241.30,236.64,238.76,747,100
2020-12-07,238.38,241.00,236.83,239.17,623,000
2020-12-04,235.28,240.12,234.57,236.88,1,057,400
2020-12-03,225.34,237.92,222.00,234.47,2,008,500
2020-12-02,228.35,228.51,223.92,224.72,818,900
2020-12-01,226.36,231.12,224.07,230.02,791,400
2020-11-30,225.72,228.20,222.79,227.50,1,071,200
2020-11-27,219.83,225.79,219.33,225.42,384,800
2020-11-25,216.98,220.76,216.40,217.02,701,500
2020-11-24,215.55,217.16,211.20,215.49,914,600
2020-11-23,218.88,220.49,213.25,216.00,708,400
2020-11-20,221.60,224.25,218.07,218.51,722,800
2020-11-19,218.12,223.16,216.30,221.28,819,700
2020-11-18,220.27,221.00,216.16,218.19,1,041,800
2020-11-17,221.82,222.96,219.04,221.20,1,071,500
2020-11-16,224.58,226.17,220.66,222.34,639,400
2020-11-13,226.02,227.50,223.88,226.23,430,000
2020-11-12,227.66,229.01,222.81,223.76,472,800
2020-11-11,222.44,227.78,222.07,224.90,842,800
2020-11-10,229.67,229.67,218.58,219.33,1,315,600
2020-11-09,243.51,246.69,233.79,233.79,983,800
2020-11-06,240.88,243.66,237.75,241.78,586,600
2020-11-05,239.53,241.82,237.17,240.56,634,400
2020-11-04,229.72,234.97,227.75,233.31,1,006,700
2020-11-03,218.93,223.47,217.38,221.74,502,100
2020-11-02,215.52,218.48,212.33,215.78,765,000
2020-10-30,217.10,219.41,212.21,213.86,777,400
2020-10-29,218.06,221.94,217.77,219.46,500,400
2020-10-28,220.07,224.92,216.10,217.82,671,500
2020-10-27,222.64,225.00,221.42,222.91,536,200
2020-10-26,223.90,226.25,217.85,220.63,600,300
2020-10-23,226.15,226.87,222.82,226.74,646,000
2020-10-22,228.41,228.41,222.22,225.17,632,800
2020-10-21,225.83,229.94,225.43,227.45,658,300
2020-10-20,225.95,228.61,223.56,226.40,550,500
2020-10-19,226.29,230.12,223.67,224.37,442,700
2020-10-16,228.61,231.08,226.34,226.48,529,600
2020-10-15,224.24,228.17,222.24,228.03,591,200
2020-10-14,229.15,229.71,224.26,226.81,604,900
2020-10-13,232.74,232.74,227.89,228.18,579,100
2020-10-12,225.65,231.60,223.58,228.93,854,300
2020-10-09,220.99,224.50,220.86,222.82,561,600
2020-10-08,221.43,221.60,218.45,219.03,373,800
2020-10-07,215.71,220.39,214.78,219.53,498,500
2020-10-06,215.60,218.66,213.08,214.34,689,500
2020-10-05,213.12,216.66,213.00,216.64,544,100
2020-10-02,212.86,216.01,210.33,212.05,751,100
2020-10-01,216.37,219.69,216.01,217.09,718,700
2020-09-30,211.21,216.86,210.80,213.98,696,400
2020-09-29,213.12,215.40,211.80,212.32,628,400
2020-09-28,210.51,212.84,209.26,212.64,699,600
2020-09-25,201.27,209.27,200.06,208.50,808,700
2020-09-24,196.46,202.83,196.46,201.51,850,100
2020-09-23,203.61,203.83,196.82,197.86,553,200
2020-09-22,203.41,205.07,198.91,204.80,752,800
2020-09-21,195.90,202.18,193.55,201.98,604,900
2020-09-18,202.04,203.22,194.20,197.93,1,357,300
2020-09-17,201.04,203.81,198.19,201.86,910,500
2020-09-16,212.47,213.20,206.72,206.86,737,200
2020-09-15,208.13,211.83,205.98,210.95,621,900
2020-09-14,202.24,206.68,201.80,205.54,622,100
2020-09-11,205.55,207.06,198.52,200.24,752,700
2020-09-10,205.84,209.11,202.13,203.28,715,100
2020-09-09,203.23,206.81,199.16,205.33,784,400
2020-09-08,202.95,206.13,198.47,198.99,1,456,700
2020-09-04,213.50,215.22,202.85,208.98,1,102,100
