Date,Open,High,Low,Close,Adj Close,Volume
2024-08-05,212.08,212.08,205.92,206.67,203.24,1,354,800
2024-08-02,214.41,214.41,207.60,209.85,206.37,1,443,300
2024-08-01,216.15,218.74,210.50,213.59,210.05,1,603,600
2024-07-31,221.50,223.93,216.47,218.11,214.49,1,924,800
2024-07-30,232.57,237.48,229.69,232.47,228.62,1,472,000
2024-07-29,229.63,232.91,228.73,231.39,227.55,758,800
2024-07-26,230.23,231.52,227.16,229.74,225.93,988,600
2024-07-25,230.60,233.16,228.46,228.62,224.83,642,200
2024-07-24,229.54,230.64,226.42,229.21,225.41,1,007,200
2024-07-23,230.77,232.22,229.96,230.15,226.33,417,900
2024-07-22,230.84,232.85,229.35,232.52,228.67,512,200
2024-07-19,234.73,235.27,228.29,228.84,225.05,645,200
2024-07-18,236.52,239.48,232.45,233.70,229.83,610,500
2024-07-17,237.34,239.17,236.50,236.98,233.05,1,041,600
2024-07-16,232.77,241.26,232.77,239.84,235.86,1,025,400
2024-07-15,229.33,234.22,228.71,232.77,228.91,824,900
2024-07-12,225.00,230.01,224.03,228.50,224.71,939,400
2024-07-11,219.00,224.27,218.76,223.82,220.11,1,006,100
2024-07-10,215.20,218.97,213.64,218.87,215.24,1,166,800
2024-07-09,216.54,216.91,214.21,214.80,211.24,969,800
2024-07-08,216.60,217.93,214.61,216.87,213.27,1,017,500
2024-07-05,217.57,217.91,214.56,216.30,212.71,753,700
2024-07-03,219.62,219.99,216.56,218.11,214.49,646,100
2024-07-02,218.66,219.44,217.10,219.12,215.49,971,700
2024-07-01,224.42,224.79,218.22,219.19,215.56,935,300
2024-06-28,224.40,225.89,223.50,223.84,220.13,2,054,200
2024-06-27,222.37,224.81,222.31,224.06,220.35,1,164,300
2024-06-26,224.37,225.05,221.41,223.13,219.43,1,062,800
2024-06-25,231.86,231.86,224.40,224.62,220.90,1,109,400
2024-06-24,233.78,236.45,231.47,231.61,227.77,707,300
2024-06-21,234.54,235.91,231.12,235.49,231.59,2,324,200
2024-06-20,230.87,232.52,229.69,231.93,228.08,849,600
2024-06-18,226.87,230.96,226.54,230.55,226.73,1,255,200
2024-06-17,223.59,227.65,223.19,226.35,222.60,809,100
2024-06-14,223.59,224.49,221.06,223.19,219.49,578,000
2024-06-13,224.57,225.44,223.13,225.10,221.37,557,500
2024-06-12,226.08,226.56,223.59,226.30,222.55,716,500
2024-06-11,223.72,224.44,221.89,224.36,220.64,637,500
2024-06-10,222.65,224.14,221.64,223.90,220.19,611,900
2024-06-07,223.27,225.48,222.59,224.24,220.52,819,800
2024-06-06,222.93,223.49,221.23,221.81,218.13,949,500
2024-06-05,222.25,223.41,221.06,222.93,219.23,839,300
2024-06-04,221.76,223.21,221.34,221.91,218.23,584,300
2024-06-03,223.52,224.52,219.33,223.49,219.78,826,600
2024-05-31,222.48,224.65,220.17,223.62,219.91,1,426,100
2024-05-30,220.26,224.12,219.85,222.84,219.15,860,600
2024-05-29,223.73,224.44,220.29,220.71,217.05,1,347,000
2024-05-28,229.06,230.51,224.58,225.20,221.47,840,200
2024-05-24,232.75,233.50,230.91,231.06,227.23,556,700
2024-05-23,237.24,237.97,231.03,231.57,227.73,908,000
2024-05-22,231.41,236.53,231.41,236.27,231.74,1,156,000
2024-05-21,227.50,230.94,227.20,230.38,225.97,973,300
2024-05-20,223.71,228.58,223.20,228.24,223.87,827,700
2024-05-17,224.09,225.46,223.05,223.64,219.36,1,299,300
2024-05-16,223.94,225.00,222.98,224.14,219.85,731,000
2024-05-15,222.39,224.68,222.20,223.44,219.16,648,900
2024-05-14,223.54,224.38,220.40,221.58,217.33,605,800
2024-05-13,223.46,223.46,221.26,222.05,217.80,456,000
2024-05-10,223.66,224.10,221.48,222.46,218.20,676,700
2024-05-09,220.90,223.30,220.41,222.97,218.70,713,000
2024-05-08,220.68,221.75,219.92,220.32,216.10,753,700
2024-05-07,222.29,223.67,220.00,220.68,216.45,766,500
2024-05-06,220.09,222.54,219.70,221.82,217.57,675,100
2024-05-03,219.99,223.20,218.09,219.56,215.35,805,700
2024-05-02,216.77,221.04,213.04,218.41,214.23,1,265,500
2024-05-01,224.00,226.72,213.44,214.61,210.50,2,422,000
2024-04-30,245.92,248.12,241.81,241.86,237.23,938,900
2024-04-29,242.73,246.02,242.73,245.94,241.23,531,000
2024-04-26,242.43,244.42,242.10,242.26,237.62,424,600
2024-04-25,240.29,244.55,238.55,243.42,238.76,753,400
2024-04-24,240.63,242.30,239.65,240.69,236.08,450,700
2024-04-23,237.93,241.43,237.85,240.47,235.86,478,000
2024-04-22,236.83,239.38,234.74,237.64,233.09,526,000
2024-04-19,235.66,237.37,234.45,235.78,231.26,593,200
2024-04-18,237.50,238.29,235.26,235.70,231.18,411,100
2024-04-17,241.27,241.27,236.37,236.78,232.24,956,500
2024-04-16,242.08,244.71,239.55,240.01,235.41,651,700
2024-04-15,246.27,246.55,240.03,241.38,236.76,728,700
2024-04-12,245.17,247.80,242.57,242.91,238.26,847,800
2024-04-11,248.19,249.33,246.67,248.00,243.25,658,200
2024-04-10,250.00,250.42,247.05,247.28,242.54,681,100
2024-04-09,255.52,256.42,251.45,254.25,249.38,515,600
2024-04-08,255.51,257.33,254.06,254.26,249.39,555,500
2024-04-05,253.78,256.44,252.53,255.19,250.30,984,400
2024-04-04,261.36,263.37,252.33,252.54,247.70,658,000
2024-04-03,250.70,256.57,250.70,255.76,250.86,479,400
2024-04-02,250.80,252.13,250.26,251.63,246.81,477,400
2024-04-01,255.79,256.93,252.94,253.06,248.21,447,800
2024-03-28,257.89,259.38,255.60,255.78,250.88,772,300
2024-03-27,256.15,258.01,255.53,257.87,252.93,502,900
2024-03-26,253.96,257.07,253.94,254.12,249.25,486,900
2024-03-25,254.53,254.69,252.92,253.85,248.99,422,300
2024-03-22,255.40,256.41,254.40,255.67,250.77,516,300
2024-03-21,253.04,255.12,252.55,254.81,249.93,688,900
2024-03-20,247.36,251.08,246.96,250.80,245.99,611,900
2024-03-19,245.17,248.34,244.84,248.00,243.25,815,600
2024-03-18,246.83,248.38,244.84,245.02,240.33,676,400
2024-03-15,245.73,247.40,244.77,245.51,240.81,1,531,800
2024-03-14,248.63,249.27,245.69,246.48,241.76,482,400
2024-03-13,249.95,250.39,247.61,248.63,243.87,645,100
2024-03-12,249.03,250.63,247.47,249.87,245.08,626,200
2024-03-11,246.21,249.24,245.30,247.94,243.19,525,000
2024-03-08,248.49,249.87,247.79,247.95,243.20,620,200
2024-03-07,248.25,249.50,247.27,248.34,243.58,472,700
2024-03-06,246.76,248.88,245.61,247.19,242.45,553,400
2024-03-05,245.33,246.41,243.73,244.97,240.28,688,600
2024-03-04,247.68,248.60,245.60,246.67,241.94,742,000
2024-03-01,247.11,248.86,246.25,247.32,242.58,691,100
2024-02-29,246.64,247.47,243.99,246.21,241.49,809,600
2024-02-28,243.70,245.91,243.48,244.91,240.22,399,100
2024-02-27,246.49,246.49,243.58,244.27,239.59,407,600
2024-02-26,247.14,248.18,245.27,246.23,241.51,449,700
2024-02-23,247.05,248.05,245.36,247.11,242.38,463,400
2024-02-22,244.52,248.08,244.32,247.56,242.21,698,600
2024-02-21,241.18,241.72,238.82,241.34,236.12,534,000
2024-02-20,239.61,242.47,238.36,241.79,236.56,641,400
2024-02-16,243.61,244.11,240.54,241.37,236.15,859,700
2024-02-15,240.35,243.51,240.32,242.75,237.50,520,600
2024-02-14,239.18,240.72,236.58,239.48,234.30,970,200
2024-02-13,236.75,238.78,235.04,237.47,232.34,986,400
2024-02-12,244.95,246.04,241.79,242.00,236.77,690,200
2024-02-09,244.30,245.41,241.49,245.23,239.93,884,800
2024-02-08,237.60,244.76,237.07,243.96,238.69,1,089,400
2024-02-07,234.84,247.63,233.69,237.60,232.46,2,023,700
2024-02-06,230.85,231.82,229.39,230.50,225.52,761,100
2024-02-05,231.18,231.94,229.18,230.73,225.74,599,700
2024-02-02,228.69,233.46,228.05,232.66,227.63,697,500
2024-02-01,227.56,230.19,225.38,230.08,225.11,651,100
2024-01-31,229.48,230.27,226.06,226.72,221.82,1,083,100
2024-01-30,229.64,231.81,229.12,230.22,225.24,625,900
2024-01-29,229.07,229.37,226.62,229.11,224.16,532,900
2024-01-26,229.00,229.79,228.03,229.69,224.73,641,500
2024-01-25,228.00,229.52,227.61,228.99,224.04,696,600
2024-01-24,225.54,228.08,224.65,226.33,221.44,575,300
2024-01-23,227.95,228.00,224.51,224.81,219.95,586,500
2024-01-22,227.50,228.28,226.63,226.91,222.01,563,600
2024-01-19,225.74,227.01,224.80,226.46,221.56,615,900
2024-01-18,220.20,225.27,219.83,225.03,220.17,731,000
2024-01-17,220.14,220.45,218.73,219.07,214.33,526,500
2024-01-16,218.68,221.08,217.68,220.72,215.95,567,600
2024-01-12,222.06,222.82,218.55,219.14,214.40,779,600
2024-01-11,220.27,221.39,218.80,221.17,216.39,522,800
2024-01-10,218.13,220.99,218.13,220.27,215.51,985,200
2024-01-09,215.80,218.26,215.03,218.18,213.46,881,900
2024-01-08,214.05,218.60,212.72,218.21,213.49,966,100
2024-01-05,214.51,215.45,213.15,214.04,209.41,1,080,000
2024-01-04,216.62,216.99,214.99,215.08,210.43,911,400
2024-01-03,220.10,220.43,217.29,217.30,212.60,795,400
2024-01-02,226.18,226.40,219.78,220.67,215.90,999,700
2023-12-29,228.56,229.31,226.62,227.32,222.41,564,200
2023-12-28,229.16,229.20,227.57,228.70,223.76,381,300
2023-12-27,229.21,229.42,227.91,228.55,223.61,565,000
2023-12-26,227.30,228.83,226.10,228.73,223.79,468,400
2023-12-22,226.54,226.85,225.17,226.63,221.73,524,300
2023-12-21,223.74,225.29,222.76,225.10,220.23,526,700
2023-12-20,223.61,226.66,222.30,222.41,217.60,758,000
2023-12-19,223.70,224.40,222.09,223.95,219.11,823,500
2023-12-18,225.00,226.66,222.40,223.69,218.85,879,400
2023-12-15,220.46,223.45,219.83,223.23,218.40,9,574,000
2023-12-14,219.79,222.50,218.19,220.44,215.67,1,622,200
2023-12-13,217.62,220.05,216.95,218.02,213.31,962,700
2023-12-12,214.65,219.32,214.02,217.62,212.92,940,700
2023-12-11,215.23,219.70,215.23,215.72,211.06,1,109,100
2023-12-08,211.63,213.62,210.06,213.19,208.58,497,300
2023-12-07,211.81,213.33,210.74,212.58,207.98,807,100
2023-12-06,211.59,211.98,208.86,209.59,205.06,670,500
